timestep,phi,phi_dot
0.0,0.5,-0.15
0.0010005002501250625,0.49985,-0.29925
0.002001000500250125,0.49955075000000004,-0.44770875
0.0030015007503751876,0.49910304125000005,-0.59533543125
0.00400200100050025,0.49850770581875004,-0.74208966646875
0.0050025012506253125,0.49776561615228127,-0.8879315298820312
0.006003001500750375,0.49687768462239923,-1.0328215570783055
0.007003501750875438,0.49584486306532094,-1.1767207546796337
0.0080040020010005,0.4946681423106413,-1.3195906098258319
0.009004502251125562,0.4933485517008155,-1.4613930994698952
0.010005002501250625,0.4918871586013456,-1.6020906994827904
0.011005502751375688,0.49028506790186277,-1.7416463935657802
0.01200600300150075,0.488543421508297,-1.88002368196851
0.013006503251625813,0.4866633978263285,-2.0171865900111565
0.014007003501750876,0.48464621123631735,-2.153099676408999
0.015007503751875938,0.48249311155990837,-2.287728041397849
0.016008004002001,0.4802053835185105,-2.4210373346588323
0.017008504252126064,0.4777843461838517,-2.5529937630410915
0.018009004502251125,0.4752313524208106,-2.6835640980810416
0.01900950475237619,0.4725477883227296,-2.8127156833168794
0.02001000500250125,0.4697350726394127,-2.940416441397114
0.021010505252626314,0.46679465619801563,-3.0666348809819524
0.022011005502751375,0.46372802131703367,-3.1913401034364473
0.02301150575287644,0.4605366812135972,-3.314501809314375
0.0240120060030015,0.45722217940428284,-3.4360903046318825
0.02501250625312656,0.45378608909965096,-3.5560765069300078
0.026013006503251626,0.45023001259272094,-3.674431951125253
0.027013506753376687,0.4465555806415957,-3.791128795147443
0.02801400700350175,0.44276445184644825,-3.9061398253641846
0.029014507253626812,0.43885831202108405,-4.019438461791298
0.030015007503751877,0.43483887355929274,-4.130998763088666
0.031015507753876938,0.4307078747962041,-4.24079543134101
0.032016008004002,0.42646707936486306,-4.348803816623167
0.03301650825412707,0.4221182755482399,-4.4549999213495095
0.03401700850425213,0.4176632756268904,-4.559360404407234
0.03501750875437719,0.41310391522248313,-4.661862585073265
0.03601800900450225,0.40844205263740985,-4.762484446714644
0.03701850925462731,0.4036795681906952,-4.861204640272294
0.03801900950475238,0.39881836355042294,-4.958002487528141
0.03901950975487744,0.3938603610628948,-5.052857984155628
0.0400200100050025,0.3888075030787392,-5.145751802553718
0.04102051025512756,0.38366175127618546,-5.236665294464571
0.04202101050525263,0.37842508598172087,-5.325580493375104
0.04302151075537769,0.37309950548834575,-5.412480116702745
0.04402201100550275,0.367687025371643,-5.497347567765734
0.04502251125562781,0.3621896778038773,-5.580166937538398
0.04602301150575288,0.3566095108663389,-5.66092300619187
0.04702351175587794,0.35094858786014704,-5.739601244420812
0.048024012006003,0.34520898661572624,-5.816187814556752
0.04902451225612806,0.3393927988011695,-5.8906695714686865
0.05002501250625312,0.33350212922970085,-5.963034063251694
0.05102551275637819,0.32753909516644913,-6.033269531704346
0.05202601300650325,0.3215058256347448,-6.101364912595759
0.05302651325662831,0.315404460722149,-6.167309835723204
0.054027013506753374,0.3092371508864258,-6.231094624761233
0.05502751375687844,0.30300605626166455,-6.292710296903354
0.0560280140070035,0.2967133459647612,-6.352148562297336
0.057028514257128564,0.29036119740246386,-6.409401823275278
0.058029014507253625,0.2839517955791886,-6.464463173379641
0.05902951475737869,0.277487332405809,-6.517326396186499
0.060030015007503754,0.27097000600962245,-6.56798596392731
0.061030515257628815,0.26440202004569513,-6.61643703591056
0.062031015507753876,0.25778558300978455,-6.662675456744716
0.06303151575787894,0.25112290755303984,-6.706697754363928
0.064032016008004,0.24441620979867593,-6.74850113785802
0.06503251625812906,0.2376677086608179,-6.788083495108333
0.06603301650825413,0.23087962516570956,-6.825443390231037
0.0670335167583792,0.22405418177547853,-6.860580060829594
0.06803401700850426,0.21719360171464894,-6.8934934150580895
0.06903451725862932,0.21030010829959084,-6.924184028497193
0.07003501750875438,0.20337592427109363,-6.952653140844585
0.07103551775887944,0.19642327113024904,-6.97890265242169
0.0720360180090045,0.18944436847782736,-7.002935120498656
0.07303651825912956,0.1824414333573287,-7.024753755439511
0.07403701850925462,0.1754166796018892,-7.044362416669513
0.0750375187593797,0.1683723171852197,-7.0617656084667315
0.07603801900950476,0.16131055157675298,-7.076968475579964
0.07703851925962982,0.15423358310117302,-7.08997679867509
0.07803901950975488,0.14714360630249793,-7.100796989612066
0.07903951975987994,0.14004280931288585,-7.109436086554755
0.080040020010005,0.1329333732263311,-7.115901748915847
0.08104052026013006,0.12581747147741523,-7.120202252139166
0.08204102051025512,0.11869726922527607,-7.122346482321695
0.0830415207603802,0.11157492274295437,-7.122343930677669
0.08404202101050526,0.10445257881227671,-7.120204687847167
0.08504252126063032,0.09733237412442954,-7.1159394380516146
0.08604302151075538,0.09021643468637792,-7.109559453098686
0.08704352176088044,0.08310687523327924,-7.101076586239105
0.0880440220110055,0.07600579864704013,-7.090503265877893
0.08904452226113056,0.06891529538116224,-7.077852489142615
0.09004502251125562,0.061837442892019624,-7.063137815311251
0.09104552276138068,0.05477430507670837,-7.046373359102301
0.09204602301150576,0.04772793171760607,-7.027573783829801
0.09304652326163082,0.04070035793377627,-7.006754294425934
0.09404702351175588,0.03369360363935034,-6.983930630333937
0.09504752376188094,0.026709673009016402,-6.959119058274072
0.096048024012006,0.01975055395074233,-6.932336364885407
0.09704852426213106,0.012818217585856922,-6.903599849246202
0.09804902451225612,0.00591461773661072,-6.872927315275728
0.09904952476238119,-0.0009583095786650083,-6.840337064020333
0.10005002501250625,-0.007798646642685342,-6.805847885826632
0.10105052526263132,-0.014604494528511973,-6.769479052404693
0.10205102551275638,-0.021373973580916666,-6.731250308784116
